L1,C,L1L2,L2,AaA,LoR,Edu.day,Sex,Family,ISO639.3,Enroll,Speaking,morph,lex,new_feat,new_sounds
Arabic,Iraq,ArabicEnglish,English,32,4,4,Female,Afro-Asiatic,ara ,47,499,0.0638,0.595079,21,24
Turkish,Turkey,TurkishMonolingual,Monolingual,19,9,2,Male,Altaic,tur ,79,535,0.05,0.595079,8,20
Portugese,Brazil,PortugeseEnglish,English,34,3,4,Female,Indo-European,por ,106,514,0.0586,0.4087,15,18
Armenian,Iraq,ArmenianArabic,Arabic,17,2,2,Female,Indo-European,hye ,47,504,0.0298,0.492995,21,23
Tamazight,Morocco,TamazightFrench,French,34,15,4,Male,Afro-Asiatic,tzm ,49,517,0.0838,0.595079,20,26
English,UnitedStates,EnglishMonolingual,Monolingual,36,2,4,Female,Indo-European,eng ,94,513,0.0094,0.083191,11,19
Spanish,Argentina,SpanishEnglish,English,31,2,3,Female,Indo-European,spa ,86,587,0.0193,0.398649,18,23
Serbian,Yugoslavia,SerbianEnglish,English,23,3,3,Female,Indo-European,srp ,85,522,0.0638,0.395005,11,19
German,Germany,GermanEnglish,English,14,9,3,Female,Indo-European,deu ,101,485,-0.0171,0.037325,6,13
Ukranian,Ukraine,UkranianGerman,German,33,2,4,Female,Indo-European,ukr ,92,548,0.0468,0.3941,20,22
Spanish,Spain,SpanishEnglish,English,26,3,2,Female,Indo-European,spa ,118,516,0.0193,0.398649,18,23
Turkish,Turkey,TurkishMonolingual,Monolingual,30,22,3,Male,Altaic,tur ,79,405,0.05,0.595079,8,20
Kurdish,Turkey,KurdishEnglish,English,30,18,4,Male,Indo-European,kur ,79,478,0.0523,0.4257,11,22
Serbian,Yugoslavia,SerbianMonolingual,Monolingual,45,7,3,Female,Indo-European,srp ,85,495,0.0638,0.395005,11,19
Somali,Somalia,SomaliEnglish,English,34,2,3,Female,Afro-Asiatic,som ,8,430,0.042,0.595079,21,20
Russian,USSR,RussianEnglish,English,33,1,4,Female,Indo-European,rus ,90,542,0.0468,0.396083,12,22
Arabic,Morocco,ArabicFrench,French,22,1,4,Male,Afro-Asiatic,ara ,49,489,0.0638,0.595079,21,24
English,Nigeria,EnglishMonolingual,Monolingual,39,3,3,Female,Indo-European,eng ,35,494,0.0094,0.083191,11,19
Arabic,Egypt,ArabicEnglish,English,29,8,4,Female,Afro-Asiatic,ara ,79,495,0.0638,0.595079,21,24
Serbian,Yugoslavia,SerbianRussian,Russian,18,3,3,Female,Indo-European,srp ,85,533,0.0638,0.395005,11,19
Serbian,Yugoslavia,SerbianGerman,German,33,4,1,Female,Indo-European,srp ,85,552,0.0638,0.395005,11,19
Russian,USSR,RussianEnglish,English,25,2,3,Female,Indo-European,rus ,90,584,0.0468,0.396083,12,22
Russian,USSR,RussianEnglish,English,29,1,3,Female,Indo-European,rus ,90,531,0.0468,0.396083,12,22
Russian,USSR,RussianEnglish,English,31,3,4,Female,Indo-European,rus ,90,511,0.0468,0.396083,12,22
Somali,Somalia,SomaliEnglish,English,23,2,4,Male,Afro-Asiatic,som ,8,485,0.042,0.595079,21,20
Arabic,Morocco,ArabicFrench,French,31,2,3,Male,Afro-Asiatic,ara ,49,505,0.0638,0.595079,21,24
Russian,USSR,RussianEnglish,English,20,6,2,Female,Indo-European,rus ,90,566,0.0468,0.396083,12,22
Romanian,USSR,RomanianRussian,Russian,23,2,3,Female,Indo-European,ron ,90,569,0.0276,0.41365,24,20
Russian,USSR,RussianEnglish,English,18,3,3,Female,Indo-European,rus ,90,525,0.0468,0.396083,12,22
Arabic,Iraq,ArabicEnglish,English,42,4,4,Male,Afro-Asiatic,ara ,47,462,0.0638,0.595079,21,24
Indonesian,Indonesia,IndonesianEnglish,English,24,13,3,Female,Austronesian,ind ,64,474,0.1461,0.595079,19,20
Hungarian,Romania,HungarianRomanian,Romanian,40,2,4,Female,Uralic,hun ,86,506,0.0101,0.595079,6,13
Arabic,Iraq,ArabicMonolingual,Monolingual,30,6,4,Male,Afro-Asiatic,ara ,47,459,0.0638,0.595079,21,24
Russian,Russia,RussianEnglish,English,17,6,3,Female,Indo-European,rus ,84,532,0.0468,0.396083,12,22
Indonesian,Indonesia,IndonesianGerman,German,25,3,3,Male,Austronesian,ind ,64,527,0.1461,0.595079,19,20
Persian,Iran,PersianMonolingual,Monolingual,26,6,3,Male,Indo-European,fas ,77,541,0.0603,0.555295,21,21
Albanian,Albania,AlbanianEnglish,English,30,3,4,Male,Indo-European,sqi ,78,447,0.0412,0.595079,11,21
Japanese,Japan,JapaneseEnglish,English,34,4,4,Female,Japanese,jpn ,101,499,0.175,0.595079,26,20
Hungarian,Hungary,HungarianEnglish,English,24,2,4,Female,Uralic,hun ,96,511,0.0101,0.595079,6,13
Russian,Ukraine,RussianEnglish,English,17,1,2,Female,Indo-European,rus ,92,521,0.0468,0.396083,12,22
English,UnitedKingdom,EnglishGerman,German,28,1,1,Female,Indo-European,eng ,105,531,0.0094,0.083191,11,19
Russian,USSR,RussianEnglish,English,24,1,3,Female,Indo-European,rus ,90,538,0.0468,0.396083,12,22
Bulgarian,Bulgaria,BulgarianEnglish,English,27,6,4,Female,Indo-European,bul ,90,500,0.0642,0.411091,12,21
German,Germany,GermanEnglish,English,20,1,3,Female,Indo-European,deu ,101,523,-0.0171,0.037325,6,13
German,Germany,GermanEnglish,English,25,1,3,Female,Indo-European,deu ,101,585,-0.0171,0.037325,6,13
Serbian,Yugoslavia,SerbianEnglish,English,41,1,4,Female,Indo-European,srp ,85,528,0.0638,0.395005,11,19
Polish,Poland,PolishEnglish,English,25,5,3,Female,Indo-European,pol ,100,523,0.0479,0.388004,14,25
Arabic,Iraq,ArabicEnglish,English,22,0,3,Male,Afro-Asiatic,ara ,47,517,0.0638,0.595079,21,24
Persian,Iran,PersianMonolingual,Monolingual,31,3,3,Male,Indo-European,fas ,77,473,0.0603,0.555295,21,21
Russian,USSR,RussianPolish,Polish,24,2,3,Female,Indo-European,rus ,90,517,0.0468,0.396083,12,22
Czech,Czechslowakia,CzechFrench,French,23,4,4,Female,Indo-European,ces ,90,579,0.054,0.38518,9,15
Turkish,Turkey,TurkishMonolingual,Monolingual,20,11,3,Male,Altaic,tur ,79,536,0.05,0.595079,8,20
Turkish,Germany,TurkishGerman,German,28,1,4,Male,Altaic,tur ,101,538,0.05,0.595079,8,20
Serbian,Yugoslavia,SerbianEnglish,English,30,7,3,Female,Indo-European,srp ,85,497,0.0638,0.395005,11,19
Armenian,USSR,ArmenianRussian,Russian,36,4,3,Female,Indo-European,hye ,90,497,0.0298,0.492995,21,23
Polish,Poland,PolishMonolingual,Monolingual,18,2,3,Female,Indo-European,pol ,100,542,0.0479,0.388004,14,25
Arabic,Morocco,ArabicFrench,French,30,9,4,Male,Afro-Asiatic,ara ,49,491,0.0638,0.595079,21,24
Serbian,Yugoslavia,SerbianEnglish,English,34,6,4,Male,Indo-European,srp ,85,476,0.0638,0.395005,11,19
German,Germany,GermanEnglish,English,13,7,3,Female,Indo-European,deu ,101,600,-0.0171,0.037325,6,13
Serbian,Australia,SerbianEnglish,English,32,2,3,Female,Indo-European,srp ,148,468,0.0638,0.395005,11,19
Russian,Russia,RussianEnglish,English,25,3,3,Male,Indo-European,rus ,84,507,0.0468,0.396083,12,22
Tamazight,Morocco,TamazightArabic,Arabic,34,2,4,Male,Afro-Asiatic,tzm ,49,510,0.0838,0.595079,20,26
Russian,Azerbaijan,RussianEnglish,English,31,6,4,Female,Indo-European,rus ,84,517,0.0468,0.396083,12,22
Urdu,Pakistan,UrduEnglish,English,9,31,2,Male,Indo-European,urd ,29,512,NA,0.4132,13,21
Arabic,Morocco,ArabicFrench,French,28,2,4,Male,Afro-Asiatic,ara ,49,438,0.0638,0.595079,21,24
Italian,Italy,ItalianEnglish,English,28,7,4,Female,Indo-European,ita ,99,610,-0.0011,0.358612,17,18
German,Austria,GermanEnglish,English,22,2,4,Male,Indo-European,deu ,100,573,-0.0171,0.037325,6,13
English,UnitedKingdom,EnglishMonolingual,Monolingual,24,19,3,Female,Indo-European,eng ,105,530,0.0094,0.083191,11,19
Russian,USSR,RussianEnglish,English,34,8,3,Female,Indo-European,rus ,90,524,0.0468,0.396083,12,22
Arabic,Iraq,ArabicEnglish,English,35,3,4,Male,Afro-Asiatic,ara ,47,501,0.0638,0.595079,21,24
Polish,Poland,PolishEnglish,English,32,17,3,Female,Indo-European,pol ,100,496,0.0479,0.388004,14,25
Croatian,Yugoslavia,CroatianEnglish,English,34,2,4,Male,Indo-European,hrv ,85,503,0.0638,0.395005,11,19
Turkish,Turkey,TurkishMonolingual,Monolingual,19,10,3,Female,Altaic,tur ,79,499,0.05,0.595079,8,20
Latvian,USSR,LatvianEnglish,English,30,1,4,Female,Indo-European,lav ,90,531,0.0553,0.363589,7,18
Afrikaans,SouthAfrica,AfrikaansEnglish,English,21,1,3,Female,Indo-European,afr ,93,522,NA,0.010463,NA,NA
French,Netherlands,FrenchEnglish,English,0,17,3,Male,Indo-European,fra ,118,662,0.0128,0.398095,10,15
Indonesian,Indonesia,IndonesianEnglish,English,26,0,4,Female,Austronesian,ind ,64,510,0.1461,0.595079,19,20
English,UnitedKingdom,EnglishMonolingual,Monolingual,37,7,4,Female,Indo-European,eng ,105,523,0.0094,0.083191,11,19
Spanish,Colombia,SpanishEnglish,English,27,4,3,Female,Indo-European,spa ,82,509,0.0193,0.398649,18,23
German,Germany,GermanMonolingual,Monolingual,51,2,1,Male,Indo-European,deu ,101,545,-0.0171,0.037325,6,13
Serbian,Yugoslavia,SerbianRussian,Russian,29,2,4,Male,Indo-European,srp ,85,502,0.0638,0.395005,11,19
Arabic,Iran,ArabicPersian,Persian,17,6,2,Female,Afro-Asiatic,ara ,77,557,0.0638,0.595079,21,24
German,Germany,GermanEnglish,English,22,0,3,Female,Indo-European,deu ,101,522,-0.0171,0.037325,6,13
Hebrew,Israel,HebrewEnglish,English,26,2,3,Male,Afro-Asiatic,heb ,93,484,NA,0.595079,25,23
Arabic,Syria,ArabicEnglish,English,15,5,3,Female,Afro-Asiatic,ara ,67,619,0.0638,0.595079,21,24
Indonesian,Indonesia,IndonesianEnglish,English,30,1,3,Female,Austronesian,ind ,64,498,0.1461,0.595079,19,20
Turkish,Netherlands,TurkishMonolingual,Monolingual,20,2,3,Male,Altaic,tur ,118,563,0.05,0.595079,8,20
Spanish,Colombia,SpanishMonolingual,Monolingual,23,3,3,Male,Indo-European,spa ,82,452,0.0193,0.398649,18,23
Spanish,Spain,SpanishEnglish,English,25,11,3,Male,Indo-European,spa ,118,531,0.0193,0.398649,18,23
Czech,Czechslowakia,CzechEnglish,English,20,6,3,Female,Indo-European,ces ,90,604,0.054,0.38518,9,15
Arabic,Lebanon,ArabicEnglish,English,36,3,4,Male,Afro-Asiatic,ara ,83,497,0.0638,0.595079,21,24
German,Germany,GermanMonolingual,Monolingual,20,1,3,Female,Indo-European,deu ,101,559,-0.0171,0.037325,6,13
Spanish,Mexico,SpanishFrench,French,27,1,3,Female,Indo-European,spa ,83,502,0.0193,0.398649,18,23
Danish,Denmark,DanishEnglish,English,32,10,3,Female,Indo-European,dan ,124,605,0,0.0808,NA,NA
Arabic,Morocco,ArabicFrench,French,23,2,2,Female,Afro-Asiatic,ara ,49,523,0.0638,0.595079,21,24
German,Germany,GermanEnglish,English,21,1,3,Female,Indo-European,deu ,101,547,-0.0171,0.037325,6,13
Persian,Iran,PersianEnglish,English,30,5,4,Female,Indo-European,fas ,77,502,0.0603,0.555295,21,21
Arabic,Morocco,ArabicFrench,French,19,6,2,Female,Afro-Asiatic,ara ,49,486,0.0638,0.595079,21,24
German,Germany,GermanEnglish,English,10,9,3,Female,Indo-European,deu ,101,524,-0.0171,0.037325,6,13
Turkish,Turkey,TurkishMonolingual,Monolingual,20,16,1,Male,Altaic,tur ,79,495,0.05,0.595079,8,20
Persian,Iran,PersianSwedish,Swedish,18,9,3,Female,Indo-European,fas ,77,504,0.0603,0.555295,21,21
Russian,Russia,RussianEnglish,English,14,7,2,Male,Indo-European,rus ,84,498,0.0468,0.396083,12,22
Persian,Iran,PersianEnglish,English,30,3,3,Female,Indo-European,fas ,77,568,0.0603,0.555295,21,21
German,Belgium,GermanFrench,French,20,1,3,Female,Indo-European,deu ,109,542,-0.0171,0.037325,6,13
Arabic,Sudan,ArabicEnglish,English,22,4,3,Male,Afro-Asiatic,ara ,31,493,0.0638,0.595079,21,24
Serbian,SerbiaandMontenegro,SerbianEnglish,English,32,3,4,Female,Indo-European,srp ,89,520,0.0638,0.395005,11,19
Russian,Russia,RussianEnglish,English,21,6,4,Female,Indo-European,rus ,84,512,0.0468,0.396083,12,22
Polish,Poland,PolishMonolingual,Monolingual,28,3,4,Female,Indo-European,pol ,100,504,0.0479,0.388004,14,25
Indonesian,Indonesia,IndonesianEnglish,English,26,4,4,Male,Austronesian,ind ,64,504,0.1461,0.595079,19,20
Persian,Iran,PersianMonolingual,Monolingual,19,4,3,Female,Indo-European,fas ,77,532,0.0603,0.555295,21,21
Kurdish,Iraq,KurdishArabic,Arabic,27,1,4,Male,Indo-European,kur ,47,502,0.0523,0.4257,11,22
Japanese,Japan,JapaneseEnglish,English,40,6,4,Female,Japanese,jpn ,101,473,0.175,0.595079,26,20
Polish,Poland,PolishEnglish,English,19,2,3,Male,Indo-European,pol ,100,498,0.0479,0.388004,14,25
Ukranian,USSR,UkranianRussian,Russian,26,3,3,Female,Indo-European,ukr ,90,495,0.0468,0.3941,20,22
German,Germany,GermanEnglish,English,20,1,3,Female,Indo-European,deu ,101,578,-0.0171,0.037325,6,13
German,Germany,GermanEnglish,English,20,0,3,Female,Indo-European,deu ,101,536,-0.0171,0.037325,6,13
Hungarian,Romania,HungarianRomanian,Romanian,28,2,3,Female,Uralic,hun ,86,544,0.0101,0.595079,6,13
Spanish,Spain,SpanishEnglish,English,28,1,3,Female,Indo-European,spa ,118,507,0.0193,0.398649,18,23
Portugese,Brazil,PortugeseEnglish,English,29,1,4,Female,Indo-European,por ,106,531,0.0586,0.4087,15,18
Arabic,Morocco,ArabicFrench,French,26,2,4,Male,Afro-Asiatic,ara ,49,442,0.0638,0.595079,21,24
Arabic,Morocco,ArabicRussian,Russian,0,32,4,Female,Afro-Asiatic,ara ,49,504,0.0638,0.595079,21,24
Polish,Poland,PolishMonolingual,Monolingual,25,4,3,Female,Indo-European,pol ,100,559,0.0479,0.388004,14,25
Arabic,Turkey,ArabicTurkish,Turkish,19,1,3,Female,Afro-Asiatic,ara ,79,457,0.0638,0.595079,21,24
Indonesian,Indonesia,IndonesianEnglish,English,28,2,4,Female,Austronesian,ind ,64,513,0.1461,0.595079,19,20
Bulgarian,Bulgaria,BulgarianFrench,French,31,2,3,Female,Indo-European,bul ,90,522,0.0642,0.411091,12,21
Russian,Russia,RussianEnglish,English,34,1,4,Female,Indo-European,rus ,84,516,0.0468,0.396083,12,22
English,Canada,EnglishMonolingual,Monolingual,27,0,4,Female,Indo-European,eng ,101,647,0.0094,0.083191,11,19
German,Germany,GermanEnglish,English,20,1,3,Male,Indo-European,deu ,101,569,-0.0171,0.037325,6,13
Romanian,Romania,RomanianMonolingual,Monolingual,30,6,3,Female,Indo-European,ron ,86,558,0.0276,0.41365,24,20
Russian,USSR,RussianUkranian,Ukranian,27,8,4,Male,Indo-European,rus ,90,612,0.0468,0.396083,12,22
Arabic,Morocco,ArabicMonolingual,Monolingual,18,5,2,Female,Afro-Asiatic,ara ,49,569,0.0638,0.595079,21,24
German,Germany,GermanEnglish,English,20,4,4,Female,Indo-European,deu ,101,558,-0.0171,0.037325,6,13
Russian,USSR,RussianEnglish,English,19,3,3,Female,Indo-European,rus ,90,535,0.0468,0.396083,12,22
Turkish,Turkey,TurkishMonolingual,Monolingual,26,2,3,Male,Altaic,tur ,79,494,0.05,0.595079,8,20
Turkish,Turkey,TurkishMonolingual,Monolingual,22,5,3,Male,Altaic,tur ,79,492,0.05,0.595079,8,20
Russian,Russia,RussianMonolingual,Monolingual,32,7,3,Male,Indo-European,rus ,84,508,0.0468,0.396083,12,22
Swedish,Sweden,SwedishEnglish,English,28,2,1,Female,Indo-European,swe ,103,572,0,0.100457,8,22
German,Germany,GermanEnglish,English,42,4,3,Female,Indo-European,deu ,101,555,-0.0171,0.037325,6,13
Russian,USSR,RussianEnglish,English,25,2,3,Female,Indo-European,rus ,90,569,0.0468,0.396083,12,22
Arabic,Iran,ArabicPersian,Persian,25,4,3,Male,Afro-Asiatic,ara ,77,454,0.0638,0.595079,21,24
Serbian,Germany,SerbianEnglish,English,19,5,3,Female,Indo-European,srp ,101,502,0.0638,0.395005,11,19
Thai,Thailand,ThaiEnglish,English,22,2,1,Female,Tai-Kadai,tha,70,504,0.2404,0.595079,20,18
Arabic,Afghanistan,ArabicEnglish,English,21,15,3,Male,Afro-Asiatic,ara ,19,513,0.0638,0.595079,21,24
English,UnitedKingdom,EnglishSpanish,Spanish,28,1,4,Female,Indo-European,eng ,105,562,0.0094,0.083191,11,19
Turkish,Turkey,TurkishMonolingual,Monolingual,28,1,4,Male,Altaic,tur ,79,467,0.05,0.595079,8,20
Romanian,Romania,RomanianEnglish,English,24,4,4,Male,Indo-European,ron ,86,523,0.0276,0.41365,24,20
Russian,Russia,RussianEnglish,English,23,2,4,Female,Indo-European,rus ,84,530,0.0468,0.396083,12,22
Somali,Somalia,SomaliEnglish,English,21,2,3,Male,Afro-Asiatic,som ,8,494,0.042,0.595079,21,20
Spanish,Colombia,SpanishMonolingual,Monolingual,20,4,3,Female,Indo-European,spa ,82,538,0.0193,0.398649,18,23
Persian,Iran,PersianEnglish,English,24,5,3,Female,Indo-European,fas ,77,485,0.0603,0.555295,21,21
Polish,Poland,PolishGerman,German,21,1,3,Female,Indo-European,pol ,100,562,0.0479,0.388004,14,25
German,Germany,GermanSpanish,Spanish,22,1,4,Male,Indo-European,deu ,101,545,-0.0171,0.037325,6,13
Serbian,Yugoslavia,SerbianRussian,Russian,35,6,4,Male,Indo-European,srp ,85,531,0.0638,0.395005,11,19
Arabic,Morocco,ArabicFrench,French,26,2,4,Female,Afro-Asiatic,ara ,49,476,0.0638,0.595079,21,24
Serbian,Albania,SerbianFrench,French,30,3,4,Female,Indo-European,srp ,78,519,0.0638,0.395005,11,19
French,France,FrenchEnglish,English,32,2,1,Female,Indo-European,fra ,113,543,0.0128,0.398095,10,15
Serbian,Yugoslavia,SerbianMonolingual,Monolingual,34,5,4,Female,Indo-European,srp ,85,500,0.0638,0.395005,11,19
Serbian,Yugoslavia,SerbianGerman,German,24,1,3,Female,Indo-European,srp ,85,521,0.0638,0.395005,11,19
German,Austria,GermanEnglish,English,20,1,4,Male,Indo-European,deu ,100,594,-0.0171,0.037325,6,13
English,UnitedStates,EnglishJapanese,Japanese,40,1,4,Female,Indo-European,eng ,94,545,0.0094,0.083191,11,19
German,Germany,GermanEnglish,English,39,2,3,Female,Indo-European,deu ,101,559,-0.0171,0.037325,6,13
Arabic,Sudan,ArabicEnglish,English,25,6,3,Female,Afro-Asiatic,ara ,31,557,0.0638,0.595079,21,24
German,Germany,GermanEnglish,English,19,1,3,Female,Indo-European,deu ,101,510,-0.0171,0.037325,6,13
Russian,Russia,RussianMonolingual,Monolingual,16,6,2,Female,Indo-European,rus ,84,509,0.0468,0.396083,12,22
English,UnitedStates,EnglishItalian,Italian,37,1,3,Female,Indo-European,eng ,94,543,0.0094,0.083191,11,19
Kurdish,Iraq,KurdishEnglish,English,28,3,3,Male,Indo-European,kur ,47,504,0.0523,0.4257,11,22
Persian,Afghanistan,PersianRussian,Russian,28,4,2,Male,Indo-European,fas ,19,449,0.0603,0.555295,21,21
Norwegian,Norway,NorwegianEnglish,English,13,7,1,Female,Indo-European,nor ,113,578,-0.0076,0.1598,14,24
German,Germany,GermanEnglish,English,30,1,3,Female,Indo-European,deu ,101,505,-0.0171,0.037325,6,13
German,Germany,GermanMonolingual,Monolingual,25,0,3,Female,Indo-European,deu ,101,554,-0.0171,0.037325,6,13
English,NewZealand,EnglishMonolingual,Monolingual,27,6,1,Male,Indo-European,eng ,120,504,0.0094,0.083191,11,19
English,Canada,EnglishUkranian,Ukranian,20,2,4,Female,Indo-European,eng ,101,519,0.0094,0.083191,11,19
English,SouthAfrica,EnglishAfrikaans,Afrikaans,19,2,1,Male,Indo-European,eng ,93,559,0.0094,0.083191,11,19
Swahili,"Congo,DemocraticRepublicofthe",SwahiliFrench,French,33,5,1,Male,Niger-Congo,swa ,22,430,0.0623,0.595079,15,20
Russian,USSR,RussianEnglish,English,24,2,3,Female,Indo-European,rus ,90,552,0.0468,0.396083,12,22
Vietnamese,Vietnam,VietnameseEnglish,English,31,2,4,Female,Austro-Asiatic,vie ,67,427,0.2859,0.595079,17,19
Bosnian,BosniaandHerzegovina,BosnianEnglish,English,18,3,3,Female,Indo-European,bos ,91,505,0.0638,0.395005,11,19
Arabic,Iraq,ArabicEnglish,English,17,3,2,Female,Afro-Asiatic,ara ,47,521,0.0638,0.595079,21,24
Russian,Azerbaijan,RussianAzerbaijani,Azerbaijani,28,11,2,Male,Indo-European,rus ,84,494,0.0468,0.396083,12,22
Japanese,Japan,JapaneseEnglish,English,26,7,4,Female,Japanese,jpn ,101,442,0.175,0.595079,26,20
Ukranian,USSR,UkranianRussian,Russian,30,5,3,Female,Indo-European,ukr ,90,514,0.0468,0.3941,20,22
Arabic,Morocco,ArabicFrench,French,22,0,3,Female,Afro-Asiatic,ara ,49,545,0.0638,0.595079,21,24
Turkish,Turkey,TurkishEnglish,English,32,2,3,Male,Altaic,tur ,79,456,0.05,0.595079,8,20
Persian,Iran,PersianEnglish,English,34,3,3,Female,Indo-European,fas ,77,524,0.0603,0.555295,21,21
Armenian,USSR,ArmenianRussian,Russian,25,3,2,Female,Indo-European,hye ,90,498,0.0298,0.492995,21,23
Arabic,Algeria,ArabicArabic,Arabic,29,6,2,Male,Afro-Asiatic,ara ,83,453,0.0638,0.595079,21,24
Kurdish,Iraq,KurdishEnglish,English,30,4,3,Male,Indo-European,kur ,47,485,0.0523,0.4257,11,22
Norwegian,Norway,NorwegianEnglish,English,29,1,1,Female,Indo-European,nor ,113,575,-0.0076,0.1598,14,24
Spanish,Mexico,SpanishEnglish,English,25,2,4,Female,Indo-European,spa ,83,527,0.0193,0.398649,18,23
Kurdish,Iraq,KurdishArabic,Arabic,26,5,3,Male,Indo-European,kur ,47,497,0.0523,0.4257,11,22
Polish,Poland,PolishRussian,Russian,46,3,4,Female,Indo-European,pol ,100,505,0.0479,0.388004,14,25
Arabic,Russia,ArabicEnglish,English,20,1,3,Male,Afro-Asiatic,ara ,84,500,0.0638,0.595079,21,24
Armenian,USSR,ArmenianRussian,Russian,34,3,2,Female,Indo-European,hye ,90,502,0.0298,0.492995,21,23
Spanish,Colombia,SpanishEnglish,English,35,1,4,Female,Indo-European,spa ,82,495,0.0193,0.398649,18,23
Russian,USSR,RussianEnglish,English,21,3,4,Male,Indo-European,rus ,90,531,0.0468,0.396083,12,22
German,Germany,GermanEnglish,English,22,12,3,Female,Indo-European,deu ,101,572,-0.0171,0.037325,6,13
English,UnitedKingdom,EnglishFrench,French,30,1,4,Female,Indo-European,eng ,105,523,0.0094,0.083191,11,19
English,India,EnglishHindi,Hindi,38,3,4,Female,Indo-European,eng ,54,566,0.0094,0.083191,11,19
Korean,"Korea,South",KoreanEnglish,English,25,8,4,Female,Korean,kor ,97,509,0.143,0.595079,22,22
Turkish,Turkey,TurkishMonolingual,Monolingual,20,1,3,Male,Altaic,tur ,79,490,0.05,0.595079,8,20
Persian,Afghanistan,PersianGerman,German,22,4,3,Female,Indo-European,fas ,19,521,0.0603,0.555295,21,21
Turkish,Turkey,TurkishMonolingual,Monolingual,27,1,1,Male,Altaic,tur ,79,505,0.05,0.595079,8,20
Arabic,Morocco,ArabicFrench,French,36,1,4,Female,Afro-Asiatic,ara ,49,487,0.0638,0.595079,21,24
